Номер договора,107 ВМ,Дата и время,25.08.26,,,,
Basil Smash БА,,,Олд Фешен,Кубик,Мадл+Шейк,Лист базилика,"Охладить бокал подачи жидким азотом. В охлажденный шейкер положить листья базилика. С помощью мадлера хорошо их размять. Добавить все остальные ингредиенты к размятым листьям. Наполнить шейкер на 2/3 льдом. Закрыть шейкер. Встряхнуть в течении 12 секунд. Перелить содержимое шейкера в охлажденный бокал подачи наполненный льдом до краев, изпользуя хауторн- и файн-стрейнер. Украсить листом базилика, положив его на поверхность напитка. Подавать без трубочки."
,п/ф Супер Джус лимонный,25,,,,,
,п/ф Сахарный сироп,20,,,,,
,Базилик свежий,10гр (8 листиков),,,,,
Mojito БА,,,Хайболл,Краш,Мадл+Свизл,Ведж лайма+Пучок мяты,"Охладить бокал подачи жидким азотом. В охлажденный бокал подачи положить 4 веджа лайма. Размять их с помощью мадлера, выдавив весь сок. Добавить листья мяты. Налить сахарный сироп. Аккуратно помять мяту. Насыпать колотый лед до края бокала. Налить газированную воду. Размешать до однородности, распределив мяту и лайм равномерно по всему бокалу. Сверху насыпать горку колотого льда. Украсить веджем лайма и пучком мяты. Подавать с двумя трубочками "
,п/ф Сахарный сироп,20,,,,,
,Газированная вода,60,,,,,
,Лайм,50гр (1/2 лайма),,,,,
,Мята (свежая),5гр (10 листиков),,,,,
Clover Club БА,,,Большое Шале,Нет,Бластер,Цедра лимона,"Охладить бокал подачи жидким азотом. В охлажденный шейкер налить все ингредиенты. Закрыть шейкер без льда и интенсивное встряхнуть до появления устойчивой пены. Открыть шейкер. Наполнить его на 2/3 льдом. Закрыть шейкер. Встряхнуть в течении 12 секунд. Перелить содержимое шейкера в охлажденный бокал подачи, изпользуя хайторн- и файн-стрейнер. Украсить цедрой лимона, закрепив ее на краю бокала"
,Сироп Малина,20,,,,,
,Пюре Малина,30,,,,,
,п/ф Супер Джус лимонный,25,,,,,
,Белок,20,,,,,
Mai Tai БА,,,Винный бокал,краш,Шейк н Пур,Банановые листья+слайс банана,"Охладить бокал подачи жидким азотом. В охлажденный шейкер налить все ингредиенты. Добавить полный совок крашеного льда. Закрыть шейкер. Встряхнуть 5 секунд. Перелить содержимое шейкера вместе со льдом в охлажденный бокал подачи. Досыпать крашеного льда до полного бокала. Украсить двумя листьями бамбука, предварительно срезав их по диагонали. Добавить к украшению два ринга банана с кожурой. Подавать с двумя трубочками"
,пюре Манго,30,,,,,
,Сироп Амаретто,10,,,,,
,п/ф Супер Джус лаймовый,30,,,,,
,Сироп Корица,10,,,,,
,,,,,,,
,,,,,, ,
Закупка ингридиентов,,,,,,,
Ананасовый ром,60,30,1800,,,,
Белый ром,40,30,1200,,,,
Сухой джин,40,30,5250,,,,
Бурбон,45,30,1350,,,,
Лигаре Биттер,30,30,900,,,,
Красный вермут,30,30,900,,,,
,,,,,,,
Биттер Ангостура,3 дэша,30,1 бут,,,,
,,,,,,,
Газированная вода,60,70,4200,,,,
Тоник,120,30,3600,,,,
,,,,,,,
пюре Манго,30,70,2100,,,,
Пюре Малина,30,70,2100,,,,
,,,,,,,
Сироп Малина,20,70,1400,,,,
Сироп Корица,10,70,700,,,,
Сироп Амаретто,10,70,700,,,,
,,,,,,,
Белок,20,70,1400,,,,
,,,,,,,
Базилик свежий,10гр (8 листиков),70,1000,,,,
Лайм,50гр (1/2 лайма),70,3500,,,,
Мята (свежая),5гр (10 листиков),70,700,,,,
Анельсин ,8,130,3250,,,,
Лимон,8,100,3000,,,,
Банан,6,70,2000,,,,
,,,,,,,
Сахар рафинад,5 гр (1 кубик),30,150,,,,
п/ф Супер Джус лимонный,25,70,3500,,,,
п/ф Супер Джус лаймовый,30,70,2100,,,,
п/ф Сахарный сироп,20,70,2800,,,,
Сахар песок ,,,5000,,,,
